project_name,file_name,nr_classes,nr_functions,ncls,slc,mlc,nr_of_lines,file_length,regexpsl,line_length,method_length,has_todo,boolean_e_c,cdac,cfoc,ccn,nppathc,javancss,nbugs,nbugs_confirmation
Apache CXF,JaxbAssertion.java,1,8,27,0,18,77,0,7,0,0,0,0,0,0,0,0,0,0.014705882,0.014705882
Apache CXF,MAPAggregator.java,3,48,613,63,18,1288,0,111,108,0,0,2,1,2,10,9,7,1.5980393,1.5980393
Apache CXF,NormalizeTest.java,1,7,62,0,18,115,0,17,8,0,0,0,0,1,0,0,2,0.33333334,0.33333334
Apache CXF,OldConfigTest.java,1,2,15,0,18,45,0,0,4,0,0,0,0,0,0,0,0,0.5,0.5
Apache CXF,OrbConfigurer.java,1,8,27,0,18,69,0,2,0,0,0,0,0,0,0,0,0,0.2,0.2
Apache CXF,ProcessorUtil.java,1,25,250,33,21,451,0,24,21,0,0,0,0,1,3,3,5,0.16666667,0.16666667
Apache CXF,RMTxStoreTest.java,1,18,398,6,25,598,0,141,32,0,0,0,1,1,0,0,10,0.027777778,0.027777778
Apache CXF,RPCClientTest.java,3,12,103,4,22,195,0,23,25,0,0,0,0,1,0,0,3,0.03448276,0.03448276
Apache CXF,RoundTripTest.java,1,4,68,1,18,116,0,2,15,0,0,0,1,1,0,0,3,0.5,0.5
Apache CXF,SayHiResponse.java,1,2,7,0,18,45,0,0,0,0,0,0,0,0,0,0,0,0.4071584,0.4071584
Apache CXF,SimpleFactory.java,1,3,9,0,18,35,0,2,0,0,0,0,0,0,0,0,0,0.0625,0.0625
Apache CXF,StaxUtilsTest.java,1,15,216,9,18,337,0,58,19,0,0,0,1,1,0,0,4,1.5,1.5
Apache CXF,TestAssertion.java,1,10,28,1,18,76,0,5,0,0,0,0,0,0,0,0,0,0.014705882,0.014705882
Apache CXF,ToolConstants.java,1,1,169,18,24,255,0,5,21,0,0,0,0,0,0,0,2,0.09090909,0.09090909
Apache CXF,WSDLToIDLTest.java,1,20,192,7,18,325,0,31,21,0,0,0,1,1,0,0,3,1.0,1.0
Apache CXF,WadlGenerator.java,10,87,909,18,18,1504,0,84,147,0,2,1,2,2,21,13,11,1.0,1.0
Apache CXF,WebClientTest.java,1,23,140,2,18,241,0,34,18,0,0,0,0,0,0,0,2,0.5,0.5
Apache CXF,WrapperHelper.java,2,10,158,10,18,321,0,34,16,0,0,1,0,2,2,2,5,0.5555556,0.5555556
Apache CXF,AbstractClient.java,2,43,282,4,18,478,0,61,25,0,0,0,1,1,2,3,3,3.6761904,3.6761904
Apache CXF,AegisJaxWsImpl.java,1,8,35,0,18,82,0,4,0,0,0,0,0,1,0,0,0,1.0,1.0
